tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,title,check,averageRating,numVotes,budget_LCY,gross_USA_USD,cumm_worldwide_gross_USD,Released_Date,Released_Month,Rotten_Tomatoes,Metascore,Actors,Production
tt0069049,movie,The Other Side of the Wind,The Other Side of the Wind,0,2018,\N,122,Drama,The Other Side of the Wind,1,6.9,4989,,,,02 Nov 2018,11,83,78,"John Huston, Oja Kodar, Peter Bogdanovich, Susan Strasberg",Netflix
tt0339736,movie,The Evil Within,The Evil Within,0,2017,\N,98,Horror,The Evil Within,1,5.5,2572,$6000000,,,30 Aug 2017,8,100,N/A,"Sean Patrick Flanery, Dina Meyer, Frederick Koehler, Michael Berryman",N/A
tt0360556,movie,Fahrenheit 451,Fahrenheit 451,0,2018,\N,100,"Drama,Sci-Fi,Thriller",Fahrenheit 451,1,4.9,15295,,,,20 May 2018,5,32,N/A,"Michael B. Jordan, Aaron Davis, Cindy Katz, Michael Shannon",HBO Films
tt0365545,movie,Nappily Ever After,Nappily Ever After,0,2018,\N,98,"Comedy,Drama,Romance",Nappily Ever After,1,6.4,6718,,,,21 Sep 2018,9,71,63,"Sanaa Lathan, Ricky Whittle, Lyriq Bent, Lynn Whitfield",Netflix
tt0369610,movie,Jurassic World,Jurassic World,0,2015,\N,124,"Action,Adventure,Sci-Fi",Jurassic World,1,7.0,549806,$150000000,652.27,1670.4,12 Jun 2015,6,72,59,"Chris Pratt, Bryce Dallas Howard, Irrfan Khan, Vincent D'Onofrio",Universal Pictures
tt0376479,movie,American Pastoral,American Pastoral,0,2016,\N,108,"Crime,Drama",American Pastoral,1,6.1,13514,,0.54,2.06,21 Oct 2016,10,21,43,"Ewan McGregor, Jennifer Connelly, Dakota Fanning, Peter Riegert",Lakeshore Entertainment
tt0385887,movie,Motherless Brooklyn,Motherless Brooklyn,0,2019,\N,144,"Crime,Drama",Motherless Brooklyn,1,7.2,3552,$26000000,7.33,7.48,01 Nov 2019,11,61,60,"Edward Norton, Gugu Mbatha-Raw, Alec Baldwin, Bobby Cannavale",Warner Bros. Pictures
tt0420293,movie,The Stanford Prison Experiment,The Stanford Prison Experiment,0,2015,\N,122,"Biography,Drama,History",The Stanford Prison Experiment,1,6.9,33563,,0.66,0.66,17 Jul 2015,7,84,67,"Billy Crudup, Michael Angarano, Moises Arias, Nicholas Braun",IFC Films
tt0437086,movie,Alita: Battle Angel,Alita: Battle Angel,0,2019,\N,122,"Action,Adventure,Sci-Fi",Alita: Battle Angel,1,7.4,170319,$170000000,85.71,404.85,14 Feb 2019,2,61,53,"Rosa Salazar, Christoph Waltz, Jennifer Connelly, Mahershala Ali",20th Century Fox
tt0448115,movie,Shazam!,Shazam!,0,2019,\N,132,"Action,Adventure,Comedy",Shazam!,1,7.1,190112,$100000000,140.37,364.57,05 Apr 2019,4,90,70,"Zachary Levi, Mark Strong, Asher Angel, Jack Dylan Grazer",New Line Cinema
tt0451279,movie,Wonder Woman,Wonder Woman,0,2017,\N,141,"Action,Adventure,Fantasy",Wonder Woman,1,7.4,506472,$149000000,412.56,821.85,02 Jun 2017,6,93,76,"Gal Gadot, Chris Pine, Connie Nielsen, Robin Wright",Warner Bros. Pictures
tt0460890,movie,The Only Living Boy in New York,The Only Living Boy in New York,0,2017,\N,89,Drama,The Only Living Boy in New York,1,6.3,9391,,0.62,2.55,11 Aug 2017,8,33,33,"Callum Turner, Jeff Bridges, Kate Beckinsale, Pierce Brosnan",Amazon Studios/Roadside Attractions
tt0475290,movie,"Hail, Caesar!","Hail, Caesar!",0,2016,\N,106,"Comedy,Drama,Music","Hail, Caesar!",1,6.3,114160,$22000000,30.5,63.65,05 Feb 2016,2,86,72,"Josh Brolin, George Clooney, Alden Ehrenreich, Ralph Fiennes",Universal Pictures
tt0478970,movie,Ant-Man,Ant-Man,0,2015,\N,117,"Action,Adventure,Comedy",Ant-Man,1,7.3,522539,$130000000,180.2,519.31,17 Jul 2015,7,83,64,"Paul Rudd, Michael Douglas, Evangeline Lilly, Corey Stoll",Disney/Marvel
tt0490215,movie,Silence,Silence,0,2016,\N,161,"Drama,History",Silence,1,7.1,88678,$46000000,7.1,23.74,13 Jan 2017,1,83,79,"Andrew Garfield, Adam Driver, Liam Neeson, Tadanobu Asano",Paramount Pictures
tt0491175,movie,Suburbicon,Suburbicon,0,2017,\N,105,"Comedy,Crime,Drama",Suburbicon,1,5.7,33889,$25000000,5.78,12.75,27 Oct 2017,10,nan,42,"Steve Monroe, Gavin Wilde, Landon Gordon, Hope Banks",N/A
tt0491203,movie,Tulip Fever,Tulip Fever,0,2017,\N,105,"Drama,History,Romance",Tulip Fever,1,6.2,16145,$25000000,2.46,8.38,01 Sep 2017,9,10,38,"Alicia Vikander, Dane DeHaan, Jack O'Connell, Holliday Grainger",The Weinstein Company
tt0493405,movie,CHIPS,CHIPS,0,2017,\N,100,"Action,Comedy,Crime",CHIPS,1,6.0,38627,$25000000,18.6,26.8,24 Mar 2017,3,18,28,"Michael Peña, Dax Shepard, Vincent D'Onofrio, Rosa Salazar",Warner Bros. Pictures
tt0498381,movie,Rings,Rings,0,2017,\N,102,"Drama,Horror,Mystery",Rings,1,4.5,35203,$25000000,27.79,83.08,03 Feb 2017,2,8,25,"Matilda Anna Ingrid Lutz, Alex Roe, Johnny Galecki, Vincent D'Onofrio",Paramount Pictures
tt0775440,movie,Cell,Cell,0,2016,\N,98,"Action,Drama,Horror",Cell,1,4.3,22929,,,1.32,10 Jun 2016,6,11,38,"John Cusack, Samuel L. Jackson, Isabelle Fuhrman, Clark Sarullo",Saban Films
tt0787524,movie,The Man Who Knew Infinity,The Man Who Knew Infinity,0,2015,\N,108,"Biography,Drama",The Man Who Knew Infinity,1,7.2,45325,$10000000,3.87,12.25,29 Apr 2016,4,62,56,"Jeremy Irons, Dev Patel, Malcolm Sinclair, Raghuvir Joshi",Edward R. Pressman Film Corporation
tt0790770,movie,Miles Ahead,Miles Ahead,0,2015,\N,100,"Biography,Drama,Music",Miles Ahead,1,6.4,8685,,2.61,3.46,22 Apr 2016,4,nan,64,"Don Cheadle, Ewan McGregor, Emayatzy Corinealdi, LaKeith Stanfield",N/A
tt0800325,movie,The Dirt,The Dirt,0,2019,\N,107,"Biography,Comedy,Drama",The Dirt,1,7.0,31533,,,,22 Mar 2019,3,nan,39,"Machine Gun Kelly, Erin Ownbey, Douglas Booth, Aaron Jay Rome",N/A
tt0810819,movie,The Danish Girl,The Danish Girl,0,2015,\N,119,"Biography,Drama,Romance",The Danish Girl,1,7.1,150723,$15000000,11.11,64.19,22 Jan 2016,1,68,66,"Alicia Vikander, Eddie Redmayne, Tusse Silberg, Adrian Schiller",Focus Features
tt0825283,movie,Maximum Ride,Maximum Ride,0,2016,\N,88,"Action,Adventure,Comedy",Maximum Ride,1,3.6,3985,,0.0,0.0,30 Aug 2016,8,nan,N/A,"Allie Marie Evans, Patrick Johnson, Lyliana Wray, Luke Gregory Crosby",Studio 71
tt0837156,movie,Pee-wee's Big Holiday,Pee-wee's Big Holiday,0,2016,\N,90,"Comedy,Family",Pee-wee's Big Holiday,1,6.1,6561,,,,18 Mar 2016,3,nan,63,"Paul Reubens, Jordan Black, Doug Cox, Linda Porter",N/A
tt0837563,movie,Pet Sematary,Pet Sematary,0,2019,\N,101,"Horror,Mystery,Thriller",Pet Sematary,1,5.8,61166,$21000000,54.72,112.4,05 Apr 2019,4,nan,57,"Jason Clarke, Amy Seimetz, John Lithgow, Jeté Laurence",N/A
tt0859635,movie,Super Troopers 2,Super Troopers 2,0,2018,\N,99,"Comedy,Crime,Mystery",Super Troopers 2,1,6.1,21441,$13500000,30.62,31.63,20 Apr 2018,4,21,41,"Seann William Scott, Clifton Collins Jr., Steve Lemme, Erik Stolhanske",SK Planet
tt0884732,movie,The Wedding Ringer,The Wedding Ringer,0,2015,\N,101,Comedy,The Wedding Ringer,1,6.6,67780,$23000000,64.46,79.8,16 Jan 2015,1,27,35,"Kevin Hart, Josh Gad, Affion Crockett, Kaley Cuoco",Sony Screen Gems
tt0900387,movie,Suite Française,Suite Française,0,2014,\N,107,"Drama,Romance,War",Suite Française,1,7.0,20880,EUR15000000,,9.34,13 Mar 2015,3,76,63,"Michelle Williams, Kristin Scott Thomas, Margot Robbie, Eric Godon",The Weinstein Company
tt0918940,movie,The Legend of Tarzan,The Legend of Tarzan,0,2016,\N,110,"Action,Adventure,Drama",The Legend of Tarzan,1,6.2,153758,$180000000,126.64,356.7,01 Jul 2016,7,36,44,"Alexander Skarsgård, Rory J. Saper, Christian Stevens, Christoph Waltz",Lionsgate Pictures
tt0972544,movie,Back Roads,Back Roads,0,2018,\N,101,"Crime,Drama,Thriller",Back Roads,1,7.0,3528,,,,07 Dec 2018,12,75,42,"Jennifer Morrison, Juliette Lewis, Alex Pettyfer, Robert Patrick",Samuel Goldwyn Films
tt0974015,movie,Justice League,Justice League,0,2017,\N,120,"Action,Adventure,Fantasy",Justice League,1,6.4,345175,$300000000,229.02,657.92,17 Nov 2017,11,40,45,"Ben Affleck, Henry Cavill, Amy Adams, Gal Gadot",Warner Bros. Pictures
tt0995868,movie,Pelé: Birth of a Legend,Pelé: Birth of a Legend,0,2016,\N,107,"Biography,Drama,Sport",Pelé: Birth of a Legend,1,7.2,14539,,0.06,7.85,13 May 2016,5,30,39,"Kevin de Paula, Leonardo Lima Carvalho, Seu Jorge, Mariana Nunes",IFC Films
tt10008784,movie,Bull,Bull,0,2019,\N,105,Drama,Bull,1,8.7,1233,,,,18 Oct 2019,10,nan,63,"Rob Morgan, Amber Havard, Yolonda Ross, Keira Bennett",N/A
