Title_ID,Release_Year,Runtime(Minutes),Genre,Title,Rating,Number_of_Votes,Budget(LCY),USA_Gross($),Worldwide_Gross($),Released_Date,Released_Month,Rotten_Tomatoes,Metascore,Actors,Production
tt0069049,2018,122,Drama,The Other Side of the Wind,6.9,4989,,,,02 Nov 2018,11.0,83.0,78.0,"John Huston, Oja Kodar, Peter Bogdanovich, Susan Strasberg",Netflix
tt0339736,2017,98,Horror,The Evil Within,5.5,2572,$6000000,,,30 Aug 2017,8.0,100.0,,"Sean Patrick Flanery, Dina Meyer, Frederick Koehler, Michael Berryman",
tt0360556,2018,100,"Drama,Sci-Fi,Thriller",Fahrenheit 451,4.9,15295,,,,20 May 2018,5.0,32.0,,"Michael B. Jordan, Aaron Davis, Cindy Katz, Michael Shannon",HBO Films
tt0365545,2018,98,"Comedy,Drama,Romance",Nappily Ever After,6.4,6718,,,,21 Sep 2018,9.0,71.0,63.0,"Sanaa Lathan, Ricky Whittle, Lyriq Bent, Lynn Whitfield",Netflix
tt0369610,2015,124,"Action,Adventure,Sci-Fi",Jurassic World,7.0,549806,$150000000,652.27,1670.4,12 Jun 2015,6.0,72.0,59.0,"Chris Pratt, Bryce Dallas Howard, Irrfan Khan, Vincent D'Onofrio",Universal Pictures
tt0376479,2016,108,"Crime,Drama",American Pastoral,6.1,13514,,0.54,2.06,21 Oct 2016,10.0,21.0,43.0,"Ewan McGregor, Jennifer Connelly, Dakota Fanning, Peter Riegert",Lakeshore Entertainment
tt0385887,2019,144,"Crime,Drama",Motherless Brooklyn,7.2,3552,$26000000,7.33,7.48,01 Nov 2019,11.0,61.0,60.0,"Edward Norton, Gugu Mbatha-Raw, Alec Baldwin, Bobby Cannavale",Warner Bros. Pictures
tt0420293,2015,122,"Biography,Drama,History",The Stanford Prison Experiment,6.9,33563,,0.66,0.66,17 Jul 2015,7.0,84.0,67.0,"Billy Crudup, Michael Angarano, Moises Arias, Nicholas Braun",IFC Films
tt0437086,2019,122,"Action,Adventure,Sci-Fi",Alita: Battle Angel,7.4,170319,$170000000,85.71,404.85,14 Feb 2019,2.0,61.0,53.0,"Rosa Salazar, Christoph Waltz, Jennifer Connelly, Mahershala Ali",20th Century Fox
tt0448115,2019,132,"Action,Adventure,Comedy",Shazam!,7.1,190112,$100000000,140.37,364.57,05 Apr 2019,4.0,90.0,70.0,"Zachary Levi, Mark Strong, Asher Angel, Jack Dylan Grazer",New Line Cinema
tt0451279,2017,141,"Action,Adventure,Fantasy",Wonder Woman,7.4,506472,$149000000,412.56,821.85,02 Jun 2017,6.0,93.0,76.0,"Gal Gadot, Chris Pine, Connie Nielsen, Robin Wright",Warner Bros. Pictures
tt0460890,2017,89,Drama,The Only Living Boy in New York,6.3,9391,,0.62,2.55,11 Aug 2017,8.0,33.0,33.0,"Callum Turner, Jeff Bridges, Kate Beckinsale, Pierce Brosnan",Amazon Studios/Roadside Attractions
tt0475290,2016,106,"Comedy,Drama,Music","Hail, Caesar!",6.3,114160,$22000000,30.5,63.65,05 Feb 2016,2.0,86.0,72.0,"Josh Brolin, George Clooney, Alden Ehrenreich, Ralph Fiennes",Universal Pictures
tt0478970,2015,117,"Action,Adventure,Comedy",Ant-Man,7.3,522539,$130000000,180.2,519.31,17 Jul 2015,7.0,83.0,64.0,"Paul Rudd, Michael Douglas, Evangeline Lilly, Corey Stoll",Disney/Marvel
tt0490215,2016,161,"Drama,History",Silence,7.1,88678,$46000000,7.1,23.74,13 Jan 2017,1.0,83.0,79.0,"Andrew Garfield, Adam Driver, Liam Neeson, Tadanobu Asano",Paramount Pictures
tt0491175,2017,105,"Comedy,Crime,Drama",Suburbicon,5.7,33889,$25000000,5.78,12.75,27 Oct 2017,10.0,,42.0,"Steve Monroe, Gavin Wilde, Landon Gordon, Hope Banks",
tt0491203,2017,105,"Drama,History,Romance",Tulip Fever,6.2,16145,$25000000,2.46,8.38,01 Sep 2017,9.0,10.0,38.0,"Alicia Vikander, Dane DeHaan, Jack O'Connell, Holliday Grainger",The Weinstein Company
tt0493405,2017,100,"Action,Comedy,Crime",CHIPS,6.0,38627,$25000000,18.6,26.8,24 Mar 2017,3.0,18.0,28.0,"Michael Peña, Dax Shepard, Vincent D'Onofrio, Rosa Salazar",Warner Bros. Pictures
