tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,title,check,averageRating,numVotes,budget_LCY,gross_USA_USD,cumm_worldwide_gross_USD
tt0069049,movie,The Other Side of the Wind,The Other Side of the Wind,0,2018,\N,122,Drama,The Other Side of the Wind,1,6.9,4989,,,
tt0339736,movie,The Evil Within,The Evil Within,0,2017,\N,98,Horror,The Evil Within,1,5.5,2572,$6000000,,
tt0360556,movie,Fahrenheit 451,Fahrenheit 451,0,2018,\N,100,"Drama,Sci-Fi,Thriller",Fahrenheit 451,1,4.9,15295,,,
tt0365545,movie,Nappily Ever After,Nappily Ever After,0,2018,\N,98,"Comedy,Drama,Romance",Nappily Ever After,1,6.4,6718,,,
tt0369610,movie,Jurassic World,Jurassic World,0,2015,\N,124,"Action,Adventure,Sci-Fi",Jurassic World,1,7.0,549806,$150000000,652.27,1670.4
tt0376479,movie,American Pastoral,American Pastoral,0,2016,\N,108,"Crime,Drama",American Pastoral,1,6.1,13514,,0.54,2.06
tt0385887,movie,Motherless Brooklyn,Motherless Brooklyn,0,2019,\N,144,"Crime,Drama",Motherless Brooklyn,1,7.2,3552,$26000000,7.33,7.48
tt0420293,movie,The Stanford Prison Experiment,The Stanford Prison Experiment,0,2015,\N,122,"Biography,Drama,History",The Stanford Prison Experiment,1,6.9,33563,,0.66,0.66
tt0437086,movie,Alita: Battle Angel,Alita: Battle Angel,0,2019,\N,122,"Action,Adventure,Sci-Fi",Alita: Battle Angel,1,7.4,170319,$170000000,85.71,404.85
tt0448115,movie,Shazam!,Shazam!,0,2019,\N,132,"Action,Adventure,Comedy",Shazam!,1,7.1,190112,$100000000,140.37,364.57
tt0451279,movie,Wonder Woman,Wonder Woman,0,2017,\N,141,"Action,Adventure,Fantasy",Wonder Woman,1,7.4,506472,$149000000,412.56,821.85
tt0460890,movie,The Only Living Boy in New York,The Only Living Boy in New York,0,2017,\N,89,Drama,The Only Living Boy in New York,1,6.3,9391,,0.62,2.55
tt0475290,movie,"Hail, Caesar!","Hail, Caesar!",0,2016,\N,106,"Comedy,Drama,Music","Hail, Caesar!",1,6.3,114160,$22000000,30.5,63.65
tt0478970,movie,Ant-Man,Ant-Man,0,2015,\N,117,"Action,Adventure,Comedy",Ant-Man,1,7.3,522539,$130000000,180.2,519.31
tt0490215,movie,Silence,Silence,0,2016,\N,161,"Drama,History",Silence,1,7.1,88678,$46000000,7.1,23.74
tt0491175,movie,Suburbicon,Suburbicon,0,2017,\N,105,"Comedy,Crime,Drama",Suburbicon,1,5.7,33889,$25000000,5.78,12.75
tt0491203,movie,Tulip Fever,Tulip Fever,0,2017,\N,105,"Drama,History,Romance",Tulip Fever,1,6.2,16145,$25000000,2.46,8.38
tt0493405,movie,CHIPS,CHIPS,0,2017,\N,100,"Action,Comedy,Crime",CHIPS,1,6.0,38627,$25000000,18.6,26.8
tt0498381,movie,Rings,Rings,0,2017,\N,102,"Drama,Horror,Mystery",Rings,1,4.5,35203,$25000000,27.79,83.08
tt0775440,movie,Cell,Cell,0,2016,\N,98,"Action,Drama,Horror",Cell,1,4.3,22929,,,1.32
tt0787524,movie,The Man Who Knew Infinity,The Man Who Knew Infinity,0,2015,\N,108,"Biography,Drama",The Man Who Knew Infinity,1,7.2,45325,$10000000,3.87,12.25
tt0790770,movie,Miles Ahead,Miles Ahead,0,2015,\N,100,"Biography,Drama,Music",Miles Ahead,1,6.4,8685,,2.61,3.46
tt0800325,movie,The Dirt,The Dirt,0,2019,\N,107,"Biography,Comedy,Drama",The Dirt,1,7.0,31533,,,
tt0810819,movie,The Danish Girl,The Danish Girl,0,2015,\N,119,"Biography,Drama,Romance",The Danish Girl,1,7.1,150723,$15000000,11.11,64.19
tt0825283,movie,Maximum Ride,Maximum Ride,0,2016,\N,88,"Action,Adventure,Comedy",Maximum Ride,1,3.6,3985,,0.0,0.0
tt0837156,movie,Pee-wee's Big Holiday,Pee-wee's Big Holiday,0,2016,\N,90,"Comedy,Family",Pee-wee's Big Holiday,1,6.1,6561,,,
tt0837563,movie,Pet Sematary,Pet Sematary,0,2019,\N,101,"Horror,Mystery,Thriller",Pet Sematary,1,5.8,61166,$21000000,54.72,112.4
tt0859635,movie,Super Troopers 2,Super Troopers 2,0,2018,\N,99,"Comedy,Crime,Mystery",Super Troopers 2,1,6.1,21441,$13500000,30.62,31.63
tt0884732,movie,The Wedding Ringer,The Wedding Ringer,0,2015,\N,101,Comedy,The Wedding Ringer,1,6.6,67780,$23000000,64.46,79.8
tt0900387,movie,Suite Française,Suite Française,0,2014,\N,107,"Drama,Romance,War",Suite Française,1,7.0,20880,EUR15000000,,9.34
tt0918940,movie,The Legend of Tarzan,The Legend of Tarzan,0,2016,\N,110,"Action,Adventure,Drama",The Legend of Tarzan,1,6.2,153758,$180000000,126.64,356.7
tt0972544,movie,Back Roads,Back Roads,0,2018,\N,101,"Crime,Drama,Thriller",Back Roads,1,7.0,3528,,,
tt0974015,movie,Justice League,Justice League,0,2017,\N,120,"Action,Adventure,Fantasy",Justice League,1,6.4,345175,$300000000,229.02,657.92
tt0995868,movie,Pelé: Birth of a Legend,Pelé: Birth of a Legend,0,2016,\N,107,"Biography,Drama,Sport",Pelé: Birth of a Legend,1,7.2,14539,,0.06,7.85
tt10008784,movie,Bull,Bull,0,2019,\N,105,Drama,Bull,1,8.7,1233,,,
tt1002563,movie,The Young Messiah,The Young Messiah,0,2016,\N,111,"Drama,Fantasy",The Young Messiah,1,5.6,2935,$18500000,6.49,7.33
tt10039344,movie,Countdown,Countdown,0,2019,\N,90,"Horror,Thriller",Countdown,1,5.3,2833,$6500000,22.31,27.73
tt1014763,movie,Child 44,Child 44,0,2015,\N,137,"Crime,Drama,History",Child 44,1,6.5,61035,$50000000,1.22,12.95
tt1018765,movie,Our Brand Is Crisis,Our Brand Is Crisis,0,2015,\N,107,"Comedy,Drama",Our Brand Is Crisis,1,6.1,19402,$28000000,7.0,8.53
tt1020072,movie,Selma,Selma,0,2014,\N,128,"Biography,Drama,History",Selma,1,7.5,79136,$20000000,52.08,66.79
tt10208198,movie,"The Gangster, the Cop, the Devil","The Gangster, the Cop, the Devil",0,2019,\N,109,"Action,Crime,Drama","The Gangster, the Cop, the Devil",1,6.9,2523,,0.22,26.1
tt1025100,movie,Gemini Man,Gemini Man,0,2019,\N,117,"Action,Drama,Sci-Fi",Gemini Man,1,5.7,19269,$138000000,48.03,167.53
tt1029360,movie,Poltergeist,Poltergeist,0,2015,\N,93,"Horror,Thriller",Poltergeist,1,4.9,52523,$35000000,47.43,95.44
tt10303892,movie,The Outsider,The Outsider,0,2019,\N,86,Western,The Outsider,1,5.7,1160,,,
tt1034415,movie,Suspiria,Suspiria,0,2018,\N,152,"Fantasy,Horror,Mystery",Suspiria,1,6.8,46361,$20000000,2.48,7.94
tt1051904,movie,Goosebumps,Goosebumps,0,2015,\N,103,"Adventure,Comedy,Family",Goosebumps,1,6.3,75044,$58000000,80.08,158.26
tt10521814,movie,K-12,K-12,0,2019,\N,96,"Fantasy,Horror,Musical",K-12,1,6.6,1656,$5000000,0.3,0.36
tt1072748,movie,Winchester,Winchester,0,2018,\N,99,"Biography,Drama,Fantasy",Winchester,1,5.4,25930,$3500000,25.09,44.02
tt1082807,movie,The Belko Experiment,The Belko Experiment,0,2016,\N,89,"Horror,Thriller",The Belko Experiment,1,6.1,39749,$5000000,10.17,11.08
tt1083452,movie,Eddie the Eagle,Eddie the Eagle,0,2015,\N,106,"Biography,Comedy,Drama",Eddie the Eagle,1,7.4,78074,$23000000,15.79,46.15
tt1109624,movie,Paddington,Paddington,0,2014,\N,95,"Adventure,Comedy,Family",Paddington,1,7.2,87722,$55000000,76.27,268.05
tt1121096,movie,Seventh Son,Seventh Son,0,2014,\N,102,"Action,Adventure,Fantasy",Seventh Son,1,5.5,67610,$95000000,17.22,114.18
tt1124037,movie,Free State of Jones,Free State of Jones,0,2016,\N,139,"Action,Biography,Drama",Free State of Jones,1,6.9,46600,$50000000,20.81,25.04
tt1126590,movie,Big Eyes,Big Eyes,0,2014,\N,106,"Biography,Crime,Drama",Big Eyes,1,7.0,79546,$10000000,14.48,29.25
tt1131724,movie,2:22,2:22,0,2017,\N,98,Thriller,2:22,1,5.8,17158,,0.0,3.95
tt1131728,movie,Basmati Blues,Basmati Blues,0,2017,\N,106,"Comedy,Musical,Romance",Basmati Blues,1,3.5,1454,,,0.02
tt1137450,movie,Death Wish,Death Wish,0,2018,\N,107,"Action,Crime,Drama",Death Wish,1,6.4,54364,$30000000,34.02,49.56
tt1137470,movie,Accidental Love,Accidental Love,0,2015,\N,100,"Comedy,Romance",Accidental Love,1,4.1,7227,$26000000,,0.02
tt1172049,movie,Demolition,Demolition,0,2015,\N,101,"Comedy,Drama",Demolition,1,7.0,80735,$10000000,1.98,4.37
tt1178665,movie,A Walk in the Woods,A Walk in the Woods,0,2015,\N,104,"Adventure,Biography,Comedy",A Walk in the Woods,1,6.3,22537,$8000000,29.5,37.46
tt1179933,movie,10 Cloverfield Lane,10 Cloverfield Lane,0,2016,\N,103,"Drama,Horror,Mystery",10 Cloverfield Lane,1,7.2,268344,$15000000,72.08,110.22
tt1183374,movie,Pet,Pet,0,2016,\N,94,"Horror,Thriller",Pet,1,5.7,14434,,0.01,0.02
tt1206885,movie,Rambo: Last Blood,Rambo: Last Blood,0,2019,\N,89,"Action,Adventure,Thriller",Rambo: Last Blood,1,6.7,23759,$50000000,44.74,86.96
tt1211837,movie,Doctor Strange,Doctor Strange,0,2016,\N,115,"Action,Adventure,Fantasy",Doctor Strange,1,7.5,540635,$165000000,232.64,677.72
tt1212428,movie,The Lost City of Z,The Lost City of Z,0,2016,\N,141,"Biography,Drama,History",The Lost City of Z,1,6.6,69412,$30000000,8.58,19.26
tt1213641,movie,First Man,First Man,0,2018,\N,141,"Biography,Drama,History",First Man,1,7.3,138413,$59000000,44.94,105.7
tt1219827,movie,Ghost in the Shell,Ghost in the Shell,0,2017,\N,107,"Action,Drama,Sci-Fi",Ghost in the Shell,1,6.3,182758,$110000000,40.56,169.8
tt1226766,movie,The Great Gilly Hopkins,The Great Gilly Hopkins,0,2015,\N,99,"Comedy,Drama,Family",The Great Gilly Hopkins,1,6.5,4019,$5000000,,0.1
tt1226837,movie,Beautiful Boy,Beautiful Boy,0,2018,\N,120,"Biography,Drama",Beautiful Boy,1,7.3,36945,$25000000,7.65,16.54
tt1230168,movie,Same Kind of Different as Me,Same Kind of Different as Me,0,2017,\N,119,"Biography,Drama",Same Kind of Different as Me,1,6.6,4914,$15000000,6.42,6.42
tt1230213,movie,Bound to Vengeance,Bound to Vengeance,0,2015,\N,93,"Horror,Thriller",Bound to Vengeance,1,5.6,5177,,,0.16
tt1241317,movie,Death Note,Death Note,0,2017,\N,101,"Adventure,Crime,Drama",Death Note,1,4.5,69168,,,
tt1243974,movie,Aloha,Aloha,0,2015,\N,105,"Comedy,Drama,Romance",Aloha,1,5.4,56844,$37000000,21.07,26.25
tt1255919,movie,Holmes & Watson,Holmes & Watson,0,2018,\N,90,"Comedy,Crime,Mystery",Holmes & Watson,1,3.8,23523,$42000000,30.57,40.47
tt1259528,movie,Den of Thieves,Den of Thieves,0,2018,\N,140,"Action,Crime,Drama",Den of Thieves,1,7.0,75250,$30000000,44.95,80.51
tt1270797,movie,Venom,Venom,0,2018,\N,112,"Action,Sci-Fi,Thriller",Venom,1,6.7,311602,$100000000,213.52,856.09
tt1273221,movie,London Fields,London Fields,0,2018,\N,118,"Crime,Mystery,Thriller",London Fields,1,4.3,3880,$8000000,0.25,0.49
tt1274586,movie,Dying of the Light,Dying of the Light,0,2014,\N,94,"Action,Drama,Thriller",Dying of the Light,1,4.4,9063,$5000000,,0.7
tt1285009,movie,The Strangers: Prey at Night,The Strangers: Prey at Night,0,2018,\N,85,Horror,The Strangers: Prey at Night,1,5.2,23493,$5000000,24.59,31.04
tt1289401,movie,Ghostbusters,Ghostbusters,0,2016,\N,116,"Action,Comedy,Fantasy",Ghostbusters,1,5.2,191811,$144000000,128.35,229.15
tt1289403,movie,The Guernsey Literary and Potato Peel Pie Society,The Guernsey Literary and Potato Peel Pie Society,0,2018,\N,124,"Drama,History,Romance",The Guernsey Literary and Potato Peel Pie Society,1,7.4,25429,,,23.15
tt1290138,movie,Frank & Lola,Frank & Lola,0,2016,\N,88,"Crime,Drama,Romance",Frank & Lola,1,5.9,4932,,0.01,0.01
tt1291570,movie,Solace,Solace,0,2015,\N,101,"Crime,Drama,Mystery",Solace,1,6.4,50925,,,22.35
tt1292566,movie,How to Be Single,How to Be Single,0,2016,\N,110,"Comedy,Drama,Romance",How to Be Single,1,6.1,76002,$38000000,46.84,112.34
tt1293847,movie,xXx: Return of Xander Cage,xXx: Return of Xander Cage,0,2017,\N,107,"Action,Adventure,Thriller",xXx: Return of Xander Cage,1,5.2,80047,$85000000,44.9,346.12
tt1298644,movie,The Hustle,The Hustle,0,2019,\N,93,"Comedy,Crime",The Hustle,1,5.4,26518,$21000000,35.42,95.02
tt1302006,movie,The Irishman,The Irishman,0,2019,\N,209,"Biography,Crime,Drama",The Irishman,1,8.7,5842,$159000000,,
tt1308728,movie,The Happytime Murders,The Happytime Murders,0,2018,\N,91,"Action,Comedy,Crime",The Happytime Murders,1,5.4,20454,$40000000,20.71,27.51
tt1340138,movie,Terminator Genisys,Terminator Genisys,0,2015,\N,126,"Action,Adventure,Sci-Fi",Terminator Genisys,1,6.4,242355,$155000000,89.76,440.6
tt1355631,movie,The Infiltrator,The Infiltrator,0,2016,\N,127,"Biography,Crime,Drama",The Infiltrator,1,7.0,63105,$28000000,15.44,21.01
tt1355644,movie,Passengers,Passengers,0,2016,\N,116,"Drama,Romance,Sci-Fi",Passengers,1,7.0,320352,$110000000,100.01,303.14
tt1355683,movie,Black Mass,Black Mass,0,2015,\N,123,"Biography,Crime,Drama",Black Mass,1,6.9,158686,$53000000,62.58,99.78
tt1365050,movie,Beasts of No Nation,Beasts of No Nation,0,2015,\N,137,"Drama,War",Beasts of No Nation,1,7.8,66087,$6000000,0.09,0.09
tt1365519,movie,Tomb Raider,Tomb Raider,0,2018,\N,119,"Action,Adventure,Fantasy",Tomb Raider,1,6.3,171647,$94000000,58.25,274.65
tt1366338,movie,Lowriders,Lowriders,0,2016,\N,98,"Adventure,Crime,Drama",Lowriders,1,5.7,2010,$5000000,6.3,6.31
tt1374989,movie,Pride and Prejudice and Zombies,Pride and Prejudice and Zombies,0,2016,\N,108,"Action,Comedy,Fantasy",Pride and Prejudice and Zombies,1,5.8,47602,$28000000,10.94,16.41
tt1386691,movie,Shimmer Lake,Shimmer Lake,0,2017,\N,83,"Crime,Drama,Mystery",Shimmer Lake,1,6.2,9199,,,
tt1386697,movie,Suicide Squad,Suicide Squad,0,2016,\N,123,"Action,Adventure,Fantasy",Suicide Squad,1,6.0,553531,$175000000,325.1,746.85
tt1389072,movie,Downsizing,Downsizing,0,2017,\N,135,"Drama,Sci-Fi",Downsizing,1,5.7,82761,$68000000,24.45,55.0
tt1389139,movie,When the Bough Breaks,When the Bough Breaks,0,2016,\N,107,"Crime,Drama,Horror",When the Bough Breaks,1,5.1,5048,$10000000,29.75,30.66
tt1390411,movie,In the Heart of the Sea,In the Heart of the Sea,0,2015,\N,122,"Action,Adventure,Biography",In the Heart of the Sea,1,6.9,111392,$100000000,25.02,93.92
tt1392190,movie,Mad Max: Fury Road,Mad Max: Fury Road,0,2015,\N,120,"Action,Adventure,Sci-Fi",Mad Max: Fury Road,1,8.1,803949,$150000000,154.06,375.21
tt1396484,movie,It,It,0,2017,\N,135,Horror,It,1,7.3,406934,$35000000,327.48,700.45
tt1398426,movie,Straight Outta Compton,Straight Outta Compton,0,2015,\N,147,"Biography,Drama,History",Straight Outta Compton,1,7.9,168465,$28000000,161.2,201.63
tt1411956,movie,Sold,Sold,0,2016,\N,94,Drama,Sold,1,6.8,1390,,0.06,0.06
tt1412528,movie,Table 19,Table 19,0,2017,\N,87,"Comedy,Drama,Romance",Table 19,1,5.8,23791,$5000000,3.61,5.04
tt1413492,movie,12 Strong,12 Strong,0,2018,\N,130,"Action,Drama,History",12 Strong,1,6.6,54029,$35000000,45.82,67.45
tt1431045,movie,Deadpool,Deadpool,0,2016,\N,108,"Action,Adventure,Comedy",Deadpool,1,8.0,844981,$58000000,363.07,782.61
tt1458169,movie,Kidnap,Kidnap,0,2017,\N,95,"Crime,Drama,Thriller",Kidnap,1,5.9,30273,$21000000,30.97,34.81
tt1468846,movie,Get a Job,Get a Job,0,2016,\N,83,Comedy,Get a Job,1,5.3,19580,,,0.02
tt1469304,movie,Baywatch,Baywatch,0,2017,\N,116,"Action,Comedy,Crime",Baywatch,1,5.5,145183,$69000000,58.06,177.86
tt1472584,movie,Max Steel,Max Steel,0,2016,\N,92,"Action,Adventure,Family",Max Steel,1,4.6,17265,$10000000,3.82,6.27
tt1473832,movie,Bridget Jones's Baby,Bridget Jones's Baby,0,2016,\N,123,"Comedy,Drama,Romance",Bridget Jones's Baby,1,6.5,62247,$35000000,24.25,211.95
tt1476425,movie,Turnabout,Turnabout,0,2016,\N,90,"Drama,Mystery,Thriller",Turnabout,1,5.3,1844,,,
tt1477834,movie,Aquaman,Aquaman,0,2018,\N,143,"Action,Adventure,Fantasy",Aquaman,1,7.0,310063,$160000000,335.06,1148.16
tt1478839,movie,The Art of Racing in the Rain,The Art of Racing in the Rain,0,2019,\N,109,"Comedy,Drama,Romance",The Art of Racing in the Rain,1,7.5,7152,$20000000,26.4,33.77
tt1480285,movie,Abattoir,Abattoir,0,2016,\N,98,"Horror,Mystery,Thriller",Abattoir,1,4.4,3483,$5000000,,0.66
tt1485796,movie,The Greatest Showman,The Greatest Showman,0,2017,\N,105,"Biography,Drama,Musical",The Greatest Showman,1,7.6,208200,$84000000,174.34,434.99
tt1488606,movie,Triple Frontier,Triple Frontier,0,2019,\N,125,"Action,Adventure,Crime",Triple Frontier,1,6.5,84167,,,
tt1489887,movie,Booksmart,Booksmart,0,2019,\N,102,Comedy,Booksmart,1,7.3,44915,$6000000,22.68,24.62
tt1489889,movie,Central Intelligence,Central Intelligence,0,2016,\N,107,"Action,Comedy,Crime",Central Intelligence,1,6.3,144537,$50000000,127.44,216.97
tt1490785,movie,I Saw the Light,I Saw the Light,0,2015,\N,123,"Biography,Drama,Music",I Saw the Light,1,5.7,5854,$13000000,1.65,1.77
tt1502407,movie,Halloween,Halloween,0,2018,\N,106,"Horror,Thriller",Halloween,1,6.6,101700,$10000000,159.34,255.49
tt1502712,movie,Fantastic Four,Fantastic Four,0,2015,\N,100,"Action,Adventure,Drama",Fantastic Four,1,4.3,142694,$120000000,56.12,167.88
tt1507571,movie,The Tribes of Palos Verdes,The Tribes of Palos Verdes,0,2017,\N,104,Drama,The Tribes of Palos Verdes,1,5.8,1829,,0.01,0.01
tt1517451,movie,A Star Is Born,A Star Is Born,0,2018,\N,136,"Drama,Music,Romance",A Star Is Born,1,7.7,283198,$36000000,215.29,434.89
tt1519461,movie,Area 51,Area 51,0,2015,\N,91,"Horror,Mystery,Sci-Fi",Area 51,1,4.2,11843,$5000000,0.01,0.01
tt1524575,movie,The Vatican Tapes,The Vatican Tapes,0,2015,\N,91,"Horror,Thriller",The Vatican Tapes,1,5.0,15188,$8000000,1.78,13.02
tt1524930,movie,Vacation,Vacation,0,2015,\N,99,"Adventure,Comedy",Vacation,1,6.1,89657,$31000000,58.88,104.88
tt1528100,movie,Exodus: Gods and Kings,Exodus: Gods and Kings,0,2014,\N,150,"Action,Drama,Fantasy",Exodus: Gods and Kings,1,6.0,152987,$140000000,65.01,268.18
tt1528854,movie,Daddy's Home,Daddy's Home,0,2015,\N,96,"Comedy,Family",Daddy's Home,1,6.2,100053,$50000000,150.36,242.79
tt1540011,movie,Blair Witch,Blair Witch,0,2016,\N,89,"Horror,Mystery,Thriller",Blair Witch,1,5.0,38263,$5000000,20.78,45.17
tt1542768,movie,True Memoirs of an International Assassin,True Memoirs of an International Assassin,0,2016,\N,98,"Action,Comedy,Crime",True Memoirs of an International Assassin,1,5.9,17952,$40000000,,
tt1544608,movie,Voice from the Stone,Voice from the Stone,0,2017,\N,94,"Drama,Mystery,Thriller",Voice from the Stone,1,5.2,9204,,,0.09
tt1560220,movie,Zombieland: Double Tap,Zombieland: Double Tap,0,2019,\N,99,"Action,Comedy,Horror",Zombieland: Double Tap,1,7.2,26631,$42000000,66.64,101.94
tt1563742,movie,Overboard,Overboard,0,2018,\N,112,"Comedy,Romance",Overboard,1,5.9,28563,$12000000,50.32,91.24
tt1571234,movie,Mortal Engines,Mortal Engines,0,2018,\N,128,"Action,Adventure,Fantasy",Mortal Engines,1,6.1,84787,$100000000,15.95,83.67
tt1588878,movie,The Late Bloomer,The Late Bloomer,0,2016,\N,90,"Comedy,Drama,Romance",The Late Bloomer,1,5.2,7345,$3500000,,
tt1590193,movie,The Commuter,The Commuter,0,2018,\N,105,"Action,Mystery,Thriller",The Commuter,1,6.3,88888,$30000000,36.34,119.94
tt1594972,movie,Norm of the North,Norm of the North,0,2016,\N,90,"Adventure,Animation,Comedy",Norm of the North,1,3.4,8143,$7000000,17.06,30.73
tt1596363,movie,The Big Short,The Big Short,0,2015,\N,130,"Biography,Comedy,Drama",The Big Short,1,7.8,321059,$28000000,70.26,133.44
tt1598642,movie,Z for Zachariah,Z for Zachariah,0,2015,\N,98,"Drama,Sci-Fi,Thriller",Z for Zachariah,1,6.0,26109,$7500000,0.12,0.38
